topic,stem,example_word,n,doc_freq,tf,idf,tf_idf
supervision,fmis,fmis,287,67,2.2916947306112844e-5,0.6931471805599453,1.5884817412272952e-5
supervision,anpr,anpr,252,33,2.012219763463567e-5,0.6931471805599453,1.3947644557117714e-5
supervision,ilc,ilcs,244,11,1.9483397709726598e-5,0.6931471805599453,1.3504862190225087e-5
supervision,gsib,gsibs,201,40,1.6049848113340355e-5,0.6931471805599453,1.1124906968177225e-5
supervision,scap,scap,167,38,1.3334948432476811e-5,0.6931471805599453,9.243081908883563e-6
supervision,tila,tila,151,22,1.2057348582658674e-5,0.6931471805599453,8.357517175098313e-6
supervision,fmi,fmi,139,54,1.109914869529507e-5,0.6931471805599453,7.693343624759373e-6
supervision,fhcs,fhcs,130,12,1.0380498779772368e-5,0.6931471805599453,7.195213462005169e-6
supervision,liscc,liscc,128,24,1.0220798798545102e-5,0.6931471805599453,7.084517870282013e-6
supervision,sfts,sfts,127,24,1.0140948807931468e-5,0.6931471805599453,7.029170074420435e-6
supervision,srep,srep,121,31,9.661848864249665e-6,0.6931471805599453,6.697083299250965e-6
supervision,cras,cras,119,13,9.5021488830224e-6,0.6931471805599453,6.58638770752781e-6
supervision,lmi,lmi,109,17,8.703648976886063e-6,0.6931471805599453,6.032909748912027e-6
supervision,mdis,mdis,109,15,8.703648976886063e-6,0.6931471805599453,6.032909748912027e-6
supervision,bhc,bhc,108,26,8.62379898627243e-6,0.6931471805599453,5.977561953050449e-6
supervision,gaap,gaap,104,51,8.304399023817894e-6,0.6931471805599453,5.7561707696041354e-6
supervision,coso,coso,100,24,7.98499906136336e-6,0.6931471805599453,5.534779586157823e-6
supervision,ceb,cebs,95,35,7.585749108295193e-6,0.6931471805599453,5.258040606849932e-6
supervision,fhc,fhc,94,17,7.505899117681559e-6,0.6931471805599453,5.202692810988354e-6
supervision,pfmi,pfmi,93,29,7.426049127067925e-6,0.6931471805599453,5.147345015126775e-6
supervision,ibra,ibra,82,12,6.547699230317956e-6,0.6931471805599453,4.538519260649415e-6
supervision,ica,icas,82,24,6.547699230317956e-6,0.6931471805599453,4.538519260649415e-6
supervision,esma,esma,81,49,6.467849239704322e-6,0.6931471805599453,4.483171464787837e-6
supervision,srf,srf,71,26,5.669349333567986e-6,0.6931471805599453,3.929693506172054e-6
supervision,lcbos,lcbos,70,14,5.589499342954352e-6,0.6931471805599453,3.874345710310476e-6
supervision,cbes,cbes,68,12,5.429799361727085e-6,0.6931471805599453,3.7636501185873197e-6
supervision,dgi,dgi,67,12,5.3499493711134514e-6,0.6931471805599453,3.708302322725741e-6
supervision,eiopa,eiopa,66,41,5.270099380499818e-6,0.6931471805599453,3.652954526864163e-6
supervision,scr,scr,66,20,5.270099380499818e-6,0.6931471805599453,3.652954526864163e-6
supervision,icai,icai,65,29,5.190249389886184e-6,0.6931471805599453,3.5976067310025843e-6
supervision,bhcs,bhcs,64,24,5.110399399272551e-6,0.6931471805599453,3.5422589351410066e-6
supervision,repackag,repackaged,64,53,5.110399399272551e-6,0.6931471805599453,3.5422589351410066e-6
supervision,pwg,pwg,63,14,5.030549408658917e-6,0.6931471805599453,3.4869111392794284e-6
supervision,anacredit,anacredit,59,12,4.711149446204383e-6,0.6931471805599453,3.2655199558331157e-6
supervision,lcbgs,lcbgs,58,12,4.631299455590749e-6,0.6931471805599453,3.210172159971537e-6
supervision,lps,lps,58,19,4.631299455590749e-6,0.6931471805599453,3.210172159971537e-6
supervision,cadburi,cadbury,56,15,4.471599474363481e-6,0.6931471805599453,3.0994765682483804e-6
supervision,ieo,ieo,55,20,4.3917494837498485e-6,0.6931471805599453,3.0441287723868027e-6
supervision,nhb,nhb,55,26,4.3917494837498485e-6,0.6931471805599453,3.0441287723868027e-6
supervision,pozsar,pozsar,55,24,4.3917494837498485e-6,0.6931471805599453,3.0441287723868027e-6
supervision,smr,smr,52,14,4.152199511908947e-6,0.6931471805599453,2.8780853848020677e-6
supervision,cibil,cibil,50,18,3.99249953068168e-6,0.6931471805599453,2.7673897930789114e-6
supervision,gerken,gerken,48,26,3.832799549454413e-6,0.6931471805599453,2.6566942013557546e-6
supervision,crt,crt,46,16,3.6730995682271456e-6,0.6931471805599453,2.5459986096325983e-6
supervision,cbest,cbest,45,18,3.5932495776135122e-6,0.6931471805599453,2.49065081377102e-6
supervision,lgd,lgd,45,22,3.5932495776135122e-6,0.6931471805599453,2.49065081377102e-6
supervision,runnabl,runnable,45,24,3.5932495776135122e-6,0.6931471805599453,2.49065081377102e-6
supervision,lvts,lvts,44,11,3.5133995869998784e-6,0.6931471805599453,2.435303017909442e-6
supervision,mra,mra,44,18,3.5133995869998784e-6,0.6931471805599453,2.435303017909442e-6
supervision,fincen,fincen,43,15,3.433549596386245e-6,0.6931471805599453,2.3799552220478638e-6
supervision,ftc,ftc,42,17,3.3536996057726113e-6,0.6931471805599453,2.3246074261862856e-6
supervision,rosc,rosc,42,25,3.3536996057726113e-6,0.6931471805599453,2.3246074261862856e-6
supervision,tafcub,tafcub,41,10,3.273849615158978e-6,0.6931471805599453,2.2692596303247074e-6
supervision,hoggarth,hoggarth,40,16,3.193999624545344e-6,0.6931471805599453,2.2139118344631293e-6
supervision,izvestia,izvestia,40,27,3.193999624545344e-6,0.6931471805599453,2.2139118344631293e-6
supervision,vishni,vishny,40,24,3.193999624545344e-6,0.6931471805599453,2.2139118344631293e-6
supervision,ceiop,ceiops,39,11,3.1141496339317107e-6,0.6931471805599453,2.158564038601551e-6
supervision,fmsb,fmsb,39,11,3.1141496339317107e-6,0.6931471805599453,2.158564038601551e-6
supervision,guardrail,guardrails,38,28,3.034299643318077e-6,0.6931471805599453,2.1032162427399725e-6
supervision,tiber,tiber,38,11,3.034299643318077e-6,0.6931471805599453,2.1032162427399725e-6
supervision,dfi,dfi,36,13,2.8745996620908098e-6,0.6931471805599453,1.992520651016816e-6
supervision,treadway,treadway,35,28,2.794749671477176e-6,0.6931471805599453,1.937172855155238e-6
supervision,tsc,tsc,35,13,2.794749671477176e-6,0.6931471805599453,1.937172855155238e-6
supervision,covar,covar,33,16,2.635049690249909e-6,0.6931471805599453,1.8264772634320815e-6
supervision,crdiv,crdiv,33,12,2.635049690249909e-6,0.6931471805599453,1.8264772634320815e-6
supervision,orsa,orsa,33,11,2.635049690249909e-6,0.6931471805599453,1.8264772634320815e-6
supervision,willison,willison,33,16,2.635049690249909e-6,0.6931471805599453,1.8264772634320815e-6
supervision,frisbe,frisbee,31,15,2.4753497090226417e-6,0.6931471805599453,1.7157816717089251e-6
supervision,lacuna,lacunae,31,31,2.4753497090226417e-6,0.6931471805599453,1.7157816717089251e-6
supervision,membr,membres,31,28,2.4753497090226417e-6,0.6931471805599453,1.7157816717089251e-6
supervision,omnibus,omnibus,31,24,2.4753497090226417e-6,0.6931471805599453,1.7157816717089251e-6
supervision,korinek,korinek,30,16,2.3954997184090083e-6,0.6931471805599453,1.660433875847347e-6
supervision,transunion,transunion,30,12,2.3954997184090083e-6,0.6931471805599453,1.660433875847347e-6
supervision,mutton,mutton,29,16,2.3156497277953745e-6,0.6931471805599453,1.6050860799857686e-6
supervision,altimari,altimari,28,14,2.2357997371817407e-6,0.6931471805599453,1.5497382841241902e-6
supervision,cfsa,cfsa,28,10,2.2357997371817407e-6,0.6931471805599453,1.5497382841241902e-6
supervision,eurepo,eurepo,28,14,2.2357997371817407e-6,0.6931471805599453,1.5497382841241902e-6
supervision,subsidiaris,subsidiarisation,28,20,2.2357997371817407e-6,0.6931471805599453,1.5497382841241902e-6
supervision,tootel,tootell,28,19,2.2357997371817407e-6,0.6931471805599453,1.5497382841241902e-6
supervision,mdi,mdi,27,10,2.1559497465681073e-6,0.6931471805599453,1.4943904882626122e-6
supervision,squam,squam,27,12,2.1559497465681073e-6,0.6931471805599453,1.4943904882626122e-6
supervision,suptech,suptech,27,13,2.1559497465681073e-6,0.6931471805599453,1.4943904882626122e-6
supervision,devant,devant,26,23,2.0760997559544735e-6,0.6931471805599453,1.4390426924010339e-6
supervision,hypothec,hypothecation,26,18,2.0760997559544735e-6,0.6931471805599453,1.4390426924010339e-6
supervision,versaill,versailles,26,12,2.0760997559544735e-6,0.6931471805599453,1.4390426924010339e-6
supervision,coyl,coyle,25,13,1.99624976534084e-6,0.6931471805599453,1.3836948965394557e-6
supervision,enterprisewid,enterprisewide,25,14,1.99624976534084e-6,0.6931471805599453,1.3836948965394557e-6
supervision,ghos,ghos,25,15,1.99624976534084e-6,0.6931471805599453,1.3836948965394557e-6
supervision,noncompli,noncompliance,25,21,1.99624976534084e-6,0.6931471805599453,1.3836948965394557e-6
supervision,rosstat,rosstat,25,11,1.99624976534084e-6,0.6931471805599453,1.3836948965394557e-6
supervision,sapienza,sapienza,25,12,1.99624976534084e-6,0.6931471805599453,1.3836948965394557e-6
supervision,simsek,simsek,25,13,1.99624976534084e-6,0.6931471805599453,1.3836948965394557e-6
supervision,unlevel,unlevel,25,19,1.99624976534084e-6,0.6931471805599453,1.3836948965394557e-6
supervision,bomfim,bomfim,24,11,1.9163997747272064e-6,0.6931471805599453,1.3283471006778773e-6
supervision,bpss,bpss,24,14,1.9163997747272064e-6,0.6931471805599453,1.3283471006778773e-6
supervision,engl,engle,24,20,1.9163997747272064e-6,0.6931471805599453,1.3283471006778773e-6
supervision,feldman,feldman,24,18,1.9163997747272064e-6,0.6931471805599453,1.3283471006778773e-6
supervision,gennaioli,gennaioli,24,14,1.9163997747272064e-6,0.6931471805599453,1.3283471006778773e-6
supervision,sapriza,sapriza,24,11,1.9163997747272064e-6,0.6931471805599453,1.3283471006778773e-6
supervision,clerc,clerc,23,18,1.8365497841135728e-6,0.6931471805599453,1.2729993048162991e-6
supervision,fsma,fsma,23,12,1.8365497841135728e-6,0.6931471805599453,1.2729993048162991e-6
supervision,holmstrom,holmstrom,23,17,1.8365497841135728e-6,0.6931471805599453,1.2729993048162991e-6
supervision,kiuchi,kiuchi,23,12,1.8365497841135728e-6,0.6931471805599453,1.2729993048162991e-6
supervision,macropru,macropru,23,11,1.8365497841135728e-6,0.6931471805599453,1.2729993048162991e-6
supervision,msa,msa,23,11,1.8365497841135728e-6,0.6931471805599453,1.2729993048162991e-6
